EW1,EW4,EW8,EW13,EW14,EW21,EW24,EW29,0
6300,6100,5800,1000,8600,6600,8200,0
NS1,NS9,NS17,NS24,NS25,NS26,NS27,NS28,0
15300,17500,7800,1000,1000,1000,1400,0
CG,CG1,CG2,0
1900,4500,0
